product,min,max,avg,variation,trend,timestamp,produit,prev_avg,updated_at
Salomon Sense Ride,55.42,280.01,160.0,0.0,STABLE,2026-04-07 18:55,Salomon Sense Ride,160.0,2026-04-07 18:55
On Running Cloud 5,55.42,280.01,180.0,0.0,STABLE,2026-04-07 18:56,On Running Cloud 5,180.0,2026-04-07 18:56
On Running Cloudmonster,55.42,280.01,180.0,0.0,STABLE,2026-04-07 18:58,On Running Cloudmonster,180.0,2026-04-07 18:58
On Running Cloudflow,55.0,268.94,95.99,0.27,UP,2026-04-07 18:59,On Running Cloudflow,95.72,2026-04-07 18:59
On Running Cloudswift,55.42,280.01,130.0,0.0,STABLE,2026-04-07 19:00,On Running Cloudswift,130.0,2026-04-07 19:00
On Running Cloudsurfer,55.42,280.01,160.0,0.0,STABLE,2026-04-07 19:01,On Running Cloudsurfer,160.0,2026-04-07 19:01
On Running Cloud X,55.42,280.01,190.01,0.0,STABLE,2026-04-07 19:02,On Running Cloud X,190.01,2026-04-07 19:02
Converse Chuck Taylor,55.0,268.94,78.19,-4.31,DOWN,2026-04-07 19:03,Converse Chuck Taylor,82.5,2026-04-07 19:03
Converse Run Star Hike,55.42,363.17,225.06,15.03,UP,2026-04-07 19:04,Converse Run Star Hike,210.03,2026-04-07 19:04
Converse Weapon,55.42,280.01,210.03,0.0,STABLE,2026-04-07 19:05,Converse Weapon,210.03,2026-04-07 19:05
Converse One Star,55.0,280.01,210.03,0.0,STABLE,2026-04-07 19:06,Converse One Star,210.03,2026-04-07 19:06
Converse Pro Leather,55.0,374.17,210.03,55.02,UP,2026-04-07 19:07,Converse Pro Leather,155.01,2026-04-07 19:07
Converse Chuck 70,55.0,280.01,153.01,0.0,STABLE,2026-04-07 19:08,Converse Chuck 70,153.01,2026-04-07 19:08
