product,min,max,avg,variation,trend,timestamp,produit,prev_avg,updated_at
Salomon Sense Ride,55.42,280.01,160.0,-10.0,DOWN,2026-04-06 16:39,Salomon Sense Ride,170.0,2026-04-06 16:39
On Running Cloud 5,55.42,280.01,180.0,-15.01,DOWN,2026-04-06 16:41,On Running Cloud 5,195.01,2026-04-06 16:41
On Running Cloudmonster,55.42,280.01,180.0,-15.01,DOWN,2026-04-06 16:42,On Running Cloudmonster,195.01,2026-04-06 16:42
On Running Cloudflow,55.0,268.94,95.72,5.72,UP,2026-04-06 16:43,On Running Cloudflow,90.0,2026-04-06 16:43
On Running Cloudswift,55.42,280.01,130.0,-20.0,DOWN,2026-04-06 16:44,On Running Cloudswift,150.0,2026-04-06 16:44
On Running Cloudsurfer,55.42,280.01,160.0,-25.01,DOWN,2026-04-06 16:46,On Running Cloudsurfer,185.01,2026-04-06 16:46
On Running Cloud X,55.42,280.01,190.01,-20.02,DOWN,2026-04-06 16:47,On Running Cloud X,210.03,2026-04-06 16:47
Converse Chuck Taylor,55.0,268.94,78.19,3.19,UP,2026-04-06 16:48,Converse Chuck Taylor,75.0,2026-04-06 16:48
Converse Run Star Hike,55.42,280.01,210.03,-15.03,DOWN,2026-04-06 16:49,Converse Run Star Hike,225.06,2026-04-06 16:49
Converse Weapon,55.42,280.01,210.03,-15.03,DOWN,2026-04-06 16:50,Converse Weapon,225.06,2026-04-06 16:50
Converse One Star,55.0,280.01,210.03,0.0,STABLE,2026-04-06 16:51,Converse One Star,210.03,2026-04-06 16:51
Converse Pro Leather,55.0,280.01,155.01,-55.02,DOWN,2026-04-06 16:53,Converse Pro Leather,210.03,2026-04-06 16:53
Converse Chuck 70,55.0,280.01,153.01,-57.02,DOWN,2026-04-06 16:54,Converse Chuck 70,210.03,2026-04-06 16:54
