ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Tags,In stock?,Meta: _price_min,Meta: _price_max,Meta: _price_avg,Meta: _nb_sources,Meta: _last_update
,simple,SB-ADI-CAMPUS-00S,Adidas Campus 00s,1,Prix agrégés marché FR — 17 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 130.00 €, moyenne 98.91 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,98.91,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,130.00,98.91,17,2026-03-29 05:00:00
,simple,SB-ADI-CAMPUS-00S-WOM,Adidas Campus 00s Women,1,Prix agrégés marché FR — 12 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 130.00 €, moyenne 101.82 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,101.82,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,130.00,101.82,12,2026-03-29 05:00:00
,simple,SB-ADI-CAMPUS-80S,Adidas Campus 80s,1,Prix agrégés marché FR — 16 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 130.00 €, moyenne 99.99 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,99.99,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,130.00,99.99,16,2026-03-29 05:00:00
,simple,SB-ADI-FORUM-BOLD-WOM,Adidas Forum Bold Women,1,Prix agrégés marché FR — 14 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 88.00 €, max 140.00 €, moyenne 112.70 €. Dernière mise à jour : 2026-03-29 05:00:00.",140.00,112.70,Sneakers > Adidas,"Adidas,sneakers,FR",1,88.00,140.00,112.70,14,2026-03-29 05:00:00
,simple,SB-ADI-FORUM-HIGH,Adidas Forum High,1,Prix agrégés marché FR — 13 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 88.00 €, max 140.00 €, moyenne 112.15 €. Dernière mise à jour : 2026-03-29 05:00:00.",140.00,112.15,Sneakers > Adidas,"Adidas,sneakers,FR",1,88.00,140.00,112.15,13,2026-03-29 05:00:00
,simple,SB-ADI-FORUM-LOW,Adidas Forum Low,1,Prix agrégés marché FR — 17 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 88.00 €, max 140.00 €, moyenne 114.34 €. Dernière mise à jour : 2026-03-29 05:00:00.",140.00,114.34,Sneakers > Adidas,"Adidas,sneakers,FR",1,88.00,140.00,114.34,17,2026-03-29 05:00:00
,simple,SB-ADI-GAZELLE-BOLD,Adidas Gazelle Bold,1,Prix agrégés marché FR — 18 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 130.00 €, moyenne 101.63 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,101.63,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,130.00,101.63,18,2026-03-29 05:00:00
,simple,SB-ADI-GAZELLE-BOLD-W,Adidas Gazelle Bold Women,1,Prix agrégés marché FR — 17 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 130.00 €, moyenne 102.73 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,102.73,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,130.00,102.73,17,2026-03-29 05:00:00
,simple,SB-ADI-GAZELLE-INDOOR,Adidas Gazelle Indoor,1,Prix agrégés marché FR — 20 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 80.00 €, max 129.00 €, moyenne 99.47 €. Dernière mise à jour : 2026-03-29 05:00:00.",129.00,99.47,Sneakers > Adidas,"Adidas,sneakers,FR",1,80.00,129.00,99.47,20,2026-03-29 05:00:00
,simple,SB-ADI-HANDBALL-SPEZI,Adidas Handball Spezial Women,1,Prix agrégés marché FR — 36 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 160.00 €, moyenne 120.00 €. Dernière mise à jour : 2026-03-29 05:00:00.",160.00,120.00,Sneakers > Adidas,"Adidas,sneakers,FR",1,90.00,160.00,120.00,36,2026-03-29 05:00:00
,simple,SB-ADI-SAMBA-CLASSIC,Adidas Samba Classic,1,Prix agrégés marché FR — 17 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 88.00 €, max 130.00 €, moyenne 107.60 €. Dernière mise à jour : 2026-03-29 05:00:00.",130.00,107.60,Sneakers > Adidas,"Adidas,sneakers,FR",1,88.00,130.00,107.60,17,2026-03-29 05:00:00
